Journal Data Filtered By:  Selected Categories: PHILOSOPHY Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2021 Selected Category Schema: WOS Selected Open Access: N Indicator: Default,,,,,,,,,
,,,,,,,,,
Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold
AMERICAN CATHOLIC PHILOSOPHICAL QUARTERLY,AM CATH PHILOS QUART,1051-3558,2153-8441,PHILOSOPHY - AHCI,178,N/A,N/A,0.59,0%
RESEARCH IN PHENOMENOLOGY,RES PHENOMENOL,0085-5553,1569-1640,PHILOSOPHY - AHCI,175,N/A,N/A,0.38,6.06%
JOURNAL OF THE BRITISH SOCIETY FOR PHENOMENOLOGY,J BRIT SOC PHENOMEN,0007-1773,2332-0486,PHILOSOPHY - AHCI,175,N/A,N/A,0.85,4.82%
Doxa-Cuadernos de Filosofia y Derecho,DOXA,0214-8676,2386-4702,PHILOSOPHY - ESCI,169,N/A,N/A,0.18,100%
CRITICA-REVISTA HISPANOAMERICANA DE FILOSOFIA,CRITICA,0011-1503,1870-4905,PHILOSOPHY - AHCI,169,N/A,N/A,0.17,100%
HUSSERL STUDIES,HUSSERL STUD,0167-9848,1572-8501,PHILOSOPHY - AHCI,167,N/A,N/A,1.75,17.78%
Ethical Perspectives,ETHICAL PERSPECT,1370-0049,1783-1431,PHILOSOPHY - AHCI,166,N/A,N/A,0.21,0%
Logic and Logical Philosophy,LOG LOG PHILOS,1425-3305,2300-9802,PHILOSOPHY - ESCI,165,N/A,N/A,1.09,95.56%
Epistemology & Philosophy of Science-Epistemologiya i Filosofiya Nauki,EPISTEMOL PHILOS SCI,1811-833X,2311-7133,PHILOSOPHY - ESCI,158,N/A,N/A,0.75,0%
Isegoria,ISEGORIA,1130-2097,1988-8376,PHILOSOPHY - AHCI,153,N/A,N/A,0.11,85.42%
FILOZOFIA,FILOZOFIA,0046-385X,2585-7061,PHILOSOPHY - AHCI,151,N/A,N/A,0.53,99.38%
INTERNATIONAL PHILOSOPHICAL QUARTERLY,INT PHILOS QUART,0019-0365,2153-8077,PHILOSOPHY - AHCI,151,N/A,N/A,0.23,0%
Ideas y Valores,IDEAS VALORES,0120-0062,2011-3668,PHILOSOPHY - AHCI,139,N/A,N/A,0.13,78.10%
European Journal for Philosophy of Religion,EUR J PHILOS RELIG,1689-8311,1689-8311,PHILOSOPHY - AHCI,131,N/A,N/A,0.56,0%
PENSAMIENTO,PENSAMIENTO,0031-4749,2386-5822,PHILOSOPHY - AHCI,130,N/A,N/A,0.16,85.43%
DEUTSCHE ZEITSCHRIFT FUR PHILOSOPHIE,DEUT Z PHILOS,0012-1045,2192-1482,PHILOSOPHY - AHCI,130,N/A,N/A,0.32,3.62%
Phenomenology & Practice,PHENOMENOL PRACT,1913-4711,1913-4711,PHILOSOPHY - ESCI,129,N/A,N/A,0.45,16.67%
OXFORD LITERARY REVIEW,OXFORD LITERARY REV,0305-1498,1757-1634,PHILOSOPHY - AHCI,124,N/A,N/A,0.57,0%
Metaphysica-International Journal for Ontology & Metaphysics,METAPHYSICA,1437-2053,1874-6373,PHILOSOPHY - ESCI,124,N/A,N/A,0.73,9.43%
Logos,LOGOS-RUSS,0869-5377,2499-9628,PHILOSOPHY - ESCI,123,N/A,N/A,0.44,0%
Filosofija-Sociologija,FILOS-SOCIOL,0235-7186,0235-7186,PHILOSOPHY - AHCI,123,N/A,N/A,0.53,0.81%
Disputatio-International Journal of Philosophy,DISPUTATIO,0873-626X,0873-626X,PHILOSOPHY - ESCI,118,N/A,N/A,0.96,70.21%
ETUDES PHILOSOPHIQUES,ETUD PHILOS,0014-2166,2101-0056,PHILOSOPHY - AHCI,117,N/A,N/A,0.06,0%
Cosmos and History-The Journal of Natural and Social Philosophy,COSM HIST,1832-9101,1832-9101,PHILOSOPHY - ESCI,117,N/A,N/A,0.32,0%
Teorema,TEOREMA,0210-1602,N/A,PHILOSOPHY - AHCI,116,N/A,N/A,0.31,0%
Cultura-International Journal of Philosophy of Culture and Axiology,CULTURA,1584-1057,2065-5002,PHILOSOPHY - AHCI,116,N/A,N/A,0.2,0%
Revista de Filosofia,REV FILOS-SANTIAGO,0034-8236,0718-4360,PHILOSOPHY - AHCI,114,N/A,N/A,0.1,0%
RIVISTA DI FILOSOFIA NEO-SCOLASTICA,RIV FILOS NEO-SCOLAS,0035-6247,0035-6247,PHILOSOPHY - AHCI,114,N/A,N/A,0.09,0%
Revue de Synthese,REV SYNTH,0035-1776,1955-2343,PHILOSOPHY - AHCI,113,N/A,N/A,0.23,0%
Journal of Nietzsche Studies,J NIETZSCHE STUD,0968-8005,1538-4594,PHILOSOPHY - AHCI,113,N/A,N/A,0.86,0%
Cinema-Journal of Philosophy and the Moving Image,CINEMA,1647-8991,1647-8991,PHILOSOPHY - ESCI,113,N/A,N/A,0.03,0%
Trans-Form-Acao,TRANS-FORM-ACAO,0101-3173,1980-539X,PHILOSOPHY - AHCI,112,N/A,N/A,0.36,99.53%
STUDIES IN EAST EUROPEAN THOUGHT,STUD E EUR THOUGHT,0925-9392,1573-0948,PHILOSOPHY - AHCI,112,N/A,N/A,0.25,36.08%
Humana Mente-Journal of Philosophical Studies,HUMANA MENTE,1972-1293,1972-1293,PHILOSOPHY - ESCI,112,N/A,N/A,0.7,0%
Teaching Philosophy,TEACH PHILOS,0145-5788,2153-6619,PHILOSOPHY - AHCI,110,N/A,N/A,0.55,0%
ZEITSCHRIFT FUR PHILOSOPHISCHE FORSCHUNG,Z PHILOS FORSCH,0044-3301,1439-2615,PHILOSOPHY - AHCI,110,N/A,N/A,0.21,0%
European Journal of Pragmatism and American Philosophy,EUR J PRAGMAT AM PHI,2036-4091,2036-4091,PHILOSOPHY - ESCI,110,N/A,N/A,0.21,36.59%
RIVISTA DI STORIA DELLA FILOSOFIA,RIV STOR FILOS,0393-2516,N/A,PHILOSOPHY - AHCI,108,N/A,N/A,0.11,0%
Aisthesis-Pratiche Linguaggi e Saperi dell Estetico,AISTHESIS,2035-8466,2035-8466,PHILOSOPHY - ESCI,108,N/A,N/A,0.23,32.97%
VIVARIUM-AN INTERNATIONAL JOURNAL FOR THE PHILOSOPHY AND INTELLECTUAL LIFE OF THE MIDDLE AGES AND RENAISSANCE,VIVARIUM,0042-7543,N/A,PHILOSOPHY - AHCI,107,N/A,N/A,1.32,5.56%
Contemporary Pragmatism,CONTEMP PRAGMAT,1572-3429,1875-8185,PHILOSOPHY - AHCI,105,N/A,N/A,0.37,9.68%
Eikasia-Revista de Filosofia,EIKASIA,1885-5679,1885-5679,PHILOSOPHY - ESCI,105,N/A,N/A,0.03,0%
Philosophy and Cosmology-Filosofiya i Kosmologiya,PHILOS COSMOL,2307-3705,2518-1866,PHILOSOPHY - ESCI,104,N/A,N/A,1.49,64.95%
Journal of the Philosophy of History,J PHILOS HIST,1872-261X,1872-2636,PHILOSOPHY - AHCI,103,N/A,N/A,1.31,12.28%
PhiloSOPHIA-A Journal of Continental Feminism,PHILOSOPHIA-J CONT F,2155-0891,2155-0905,PHILOSOPHY - ESCI,102,N/A,N/A,1.01,0%
REVUE PHILOSOPHIQUE DE LOUVAIN,REV PHILOS LOUVAIN,0035-3841,1783-1768,PHILOSOPHY - AHCI,100,N/A,N/A,0.06,0%
Araucaria-Revista Iberoamericana de Filosofia Politica y Humanidades,ARAUCARIA,1575-6823,2340-2199,PHILOSOPHY - ESCI,96,N/A,N/A,0.17,99%
Daimon-Revista Internacional de Filosofia,DAIMON,1130-0507,1989-4651,PHILOSOPHY - ESCI,95,N/A,N/A,0.13,88.06%
Telos,TELOS-US,0090-6514,1940-459X,PHILOSOPHY - AHCI,94,N/A,N/A,0.1,0%
Christian Bioethics,CHRIST BIOET,1380-3603,1744-4195,PHILOSOPHY - AHCI,94,N/A,N/A,1.31,3.77%
Apeiron-A Journal for Ancient Philosophy and Science,APEIRON-J ANC PHILOS,0003-6390,2156-7093,PHILOSOPHY - ESCI,94,N/A,N/A,0.42,8.33%
CLIO-A JOURNAL OF LITERATURE HISTORY AND THE PHILOSOPHY OF HISTORY,CLIO,0884-2043,0884-2043,PHILOSOPHY - AHCI,94,N/A,N/A,0.84,0%
Augustinian Studies,AUGUSTIN STUD,0094-5323,2153-7917,PHILOSOPHY - AHCI,91,N/A,N/A,0.7,0%
Croatian Journal of Philosophy,CROAT J PHILOS,1333-1108,1847-6139,PHILOSOPHY - AHCI,91,N/A,N/A,0.3,0%
Pluralist,PLURALIST,1930-7365,N/A,PHILOSOPHY - AHCI,90,N/A,N/A,0.44,0%
Argumentos-Revista de Filosofia,ARGUMENTOS,1984-4247,1984-4255,PHILOSOPHY - ESCI,90,N/A,N/A,0.03,75.82%
Anuario Filosofico,ANU FILOS,0066-5215,0066-5215,PHILOSOPHY - AHCI,89,N/A,N/A,0.25,100%
Wisdom,WISDOM,1829-3824,1829-3824,PHILOSOPHY - ESCI,86,N/A,N/A,0.82,96.23%
Etica & Politica,ETICA POLITICA,1825-5167,1825-5167,PHILOSOPHY - ESCI,86,N/A,N/A,0.1,0%
Rivista di Estetica,RIV ESTET,0035-6212,0035-6212,PHILOSOPHY - AHCI,86,N/A,N/A,0.25,54.43%
Frontiers of Philosophy in China,FRONT PHILOS CHINA,1673-3436,1673-355X,PHILOSOPHY - ESCI,83,N/A,N/A,0.18,0%
Arabic Sciences and Philosophy,ARAB SCI PHILOS,0957-4239,1474-0524,PHILOSOPHY - AHCI,82,N/A,N/A,0.53,13.79%
Open Philosophy,OPEN PHILOS,N/A,2543-8875,PHILOSOPHY - ESCI,79,N/A,N/A,1.11,93.18%
Diametros,DIAMETROS,1733-5566,1733-5566,PHILOSOPHY - ESCI,77,N/A,N/A,0.75,90.48%
LAVAL THEOLOGIQUE ET PHILOSOPHIQUE,LAVAL THEOL PHILOS,0023-9054,1703-8804,PHILOSOPHY - AHCI,77,N/A,N/A,0.11,0%
REVUE DES SCIENCES PHILOSOPHIQUES ET THEOLOGIQUES,REV SCI PHILOS THEOL,0035-2209,2118-4445,PHILOSOPHY - AHCI,77,N/A,N/A,0.13,0%
Derrida Today,DERRIDA TODAY,1754-8500,1754-8519,PHILOSOPHY - ESCI,71,N/A,N/A,0.24,2.50%
